Product code;Language;Product id;Category;Price;Weight;Quantity;Zero price action;Product name;Description;Taxes;Status
707-44-85151;ru;707-44-85151;Komatsu;6334.01;0,02;2;R;707-44-85151 онпьмебне йнкэжн, ;707-44-85151 онпьмебне йнкэжн, ;VAT;A
707-46-14010;ru;707-46-14010;Komatsu;210209.55;18;1;R;707-46-14010 ондьхомхй яйнкэфемхъ, ;707-46-14010 ондьхомхй яйнкэфемхъ, ;VAT;A
707-46-16010;ru;707-46-16010;Komatsu;281292.63;22;2;R;707-46-16010 брскйю, ;707-46-16010 брскйю, ;VAT;A
707-46-18010;ru;707-46-18010;Komatsu;337177.35;33,8;2;R;707-46-18010 брскйю, ;707-46-18010 брскйю, ;VAT;A
707-46-18050;ru;707-46-18050;Komatsu;356853.05;38,2;2;R;707-46-18050 брскйю, ;707-46-18050 брскйю, ;VAT;A
707-51-10640;ru;707-51-10640;Komatsu;5520.7;0,01;3;R;707-51-10640 сокнрмхрекэмне йнкэжн, ;707-51-10640 сокнрмхрекэмне йнкэжн, ;VAT;A
707-51-10730;ru;707-51-10730;Komatsu;11542.53;0,054;3;R;707-51-10730 сокнрмемхе, ;707-51-10730 сокнрмемхе, ;VAT;A
707-51-11050;ru;707-51-11050;Komatsu;8919.79;0,122;1;R;707-51-11050 сокнрмемхе, ;707-51-11050 сокнрмемхе, ;VAT;A
707-51-11690;ru;707-51-11690;Komatsu;9213.49;0,022;1;R;707-51-11690 йнкэжн, ;707-51-11690 йнкэжн, ;VAT;A
707-51-15640;ru;707-51-15640;Komatsu;11203.65;0,022;5;R;707-51-15640 йнкэжн, ;707-51-15640 йнкэжн, ;VAT;A
707-51-16130;ru;707-51-16130;Komatsu;12877.52;0,14;2;R;707-51-16130 сокнрмемхе, ;707-51-16130 сокнрмемхе, ;VAT;A
707-51-16640;ru;707-51-16640;Komatsu;11542.53;0,02;2;R;707-51-16640 йнкэжн, ;707-51-16640 йнкэжн, ;VAT;A
707-51-18301;ru;707-51-18301;Komatsu;19562.74;0,148;1;R;707-51-18301 ьрнй, ;707-51-18301 ьрнй, ;VAT;A
707-51-18401;ru;707-51-18401;Komatsu;23608.79;0,04;1;R;707-51-18401 йнкэжн, ;707-51-18401 йнкэжн, ;VAT;A
707-51-18640;ru;707-51-18640;Komatsu;18587.16;0,02;1;R;707-51-18640 н-йнкэжн, ;707-51-18640 н-йнкэжн, ;VAT;A
707-51-85130;ru;707-51-85130;Komatsu;6050.59;0,03;1;R;707-51-85130 сокнрмемхе, ;707-51-85130 сокнрмемхе, ;VAT;A
707-51-85640;ru;707-51-85640;Komatsu;5818.5;0,01;1;R;707-51-85640 опнйкюдйю, ;707-51-85640 опнйкюдйю, ;VAT;A
707-52-15310;ru;707-52-15310;Komatsu;4428.07;0,1;2;R;707-52-15310 брскйю, ;707-52-15310 брскйю, ;VAT;A
707-52-15410;ru;707-52-15410;Komatsu;3834.5;0,12;2;R;707-52-15410 ондьхомхй яйнкэфемхъ, ;707-52-15410 ондьхомхй яйнкэфемхъ, ;VAT;A
707-52-15620;ru;707-52-15620;Komatsu;5555.61;0,21;12;R;707-52-15620  ондьхомхй яйнкэфемхъ, ;707-52-15620  ондьхомхй яйнкэфемхъ, ;VAT;A
707-52-90230;ru;707-52-90230;Komatsu;2227.38;0,06;2;R;707-52-90230 брскйю, ;707-52-90230 брскйю, ;VAT;A
707-52-90561;ru;707-52-90561;Komatsu;8984.48;0,14;4;R;707-52-90561 брскйю, ;707-52-90561 брскйю, ;VAT;A
707-52-90781;ru;707-52-90781;Komatsu;8534.7;0,17;1;R;707-52-90781 брскйю, ;707-52-90781 брскйю, ;VAT;A
707-52-90851;ru;707-52-90851;Komatsu;8446.38;0,24;4;R;707-52-90851 брскйю, ;707-52-90851 брскйю, ;VAT;A
707-52-91071;ru;707-52-91071;Komatsu;9790.61;0,37;1;R;707-52-91071 брскйю, ;707-52-91071 брскйю, ;VAT;A
707-56-10651;ru;707-56-10651;Komatsu;5202.36;0,047;4;R;707-56-10651 ошкэмхй, ;707-56-10651 ошкэмхй, ;VAT;A
707-56-18520;ru;707-56-18520;Komatsu;12631.06;0,14;1;R;707-56-18520 ошкегюыхрмне сокнрмемхе, ;707-56-18520 ошкегюыхрмне сокнрмемхе, ;VAT;A
707-56-85510;ru;707-56-85510;Komatsu;1581.27;0,044;1;R;707-56-85510 ошкегюыхрмне сокнрмемхе, ;707-56-85510 ошкегюыхрмне сокнрмемхе, ;VAT;A
