Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;SEO name;Short description;Status;Popularity
"01011-82215";"ru";"7755";"Komatsu";"0.00";"1062.86";"0.500";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01011-82215 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7755";"";"A";""
"01016-51035";"ru";"7756";"Komatsu";"0.00";"24.66";"0.030";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01016-51035 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7756";"";"A";""
"01018-22485";"ru";"7757";"Komatsu";"0.00";"940.65";"0.393";"40";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01018-22485 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7757";"";"A";""
"01018-22490";"ru";"7758";"Komatsu";"0.00";"985.84";"0.428";"28";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01018-22490 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7758";"";"A";""
"01018-23095";"ru";"7759";"Komatsu";"0.00";"1256.49";"0.754";"80";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01018-23095 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7759";"";"A";""
"01018-31095";"ru";"7760";"Komatsu";"0.00";"209.49";"0.070";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01018-31095 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7760";"";"A";""
"01020-11060";"ru";"7761";"Komatsu";"0.00";"1444.88";"0.050";"2";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01020-11060 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7761";"";"A";""
"01023-20410";"ru";"7762";"Komatsu";"0.00";"89.34";"0.002";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01023-20410 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7762";"";"A";""
"01050-61260";"ru";"7763";"Komatsu";"0.00";"157.11";"0.070";"16";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01050-61260 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7763";"";"A";""
"01050-61475";"ru";"7764";"Komatsu";"0.00";"125.28";"0.110";"16";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01050-61475 БОЛТ С ШЕСТИГРАННОЙ ГОЛОВКОЙ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7764";"";"A";""
"01050-62060";"ru";"7765";"Komatsu";"0.00";"485.73";"0.210";"6";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01050-62060 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7765";"";"A";""
"01144-82050";"ru";"7766";"Komatsu";"0.00";"1379.15";"0.120";"37";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"<p>01144-82050 ШПИЛЬКА.</p>";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7766";"";"A";""
"01220-40412";"ru";"7767";"Komatsu";"0.00";"0.00";"0.005";"2";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"<p>01220-40412 ВИНТ.</p>";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7767";"";"A";""
"01252-30845";"ru";"7768";"Komatsu";"0.00";"85.23";"0.020";"7";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01252-30845 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7768";"";"A";""
"01252-30880";"ru";"7769";"Komatsu";"0.00";"153.01";"0.040";"4";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01252-30880 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7769";"";"A";""
"01252-60835";"ru";"7770";"Komatsu";"0.00";"60.74";"0.020";"7";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01252-60835 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7770";"";"A";""
"01252-70625";"ru";"7771";"Komatsu";"0.00";"34.91";"0.010";"4";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01252-70625 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7771";"";"A";""
"01252-71030";"ru";"7772";"Komatsu";"0.00";"41.77";"0.030";"2";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01252-71030 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7772";"";"A";""
"01252-80612";"ru";"7773";"Komatsu";"0.00";"21.57";"0.010";"4";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01252-80612 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7773";"";"A";""
"01435-00625";"ru";"7774";"Komatsu";"0.00";"29.78";"0.010";"2";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-00625 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7774";"";"A";""
"01435-00630";"ru";"7775";"Komatsu";"0.00";"32.87";"0.010";"4";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-00630 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7775";"";"A";""
"01435-00635";"ru";"7776";"Komatsu";"0.00";"101.67";"0.009";"5";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-00635 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7776";"";"A";""
"01435-00812";"ru";"7777";"Komatsu";"0.00";"36.98";"0.010";"22";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-00812 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7777";"";"A";""
"01435-00820";"ru";"7778";"Komatsu";"0.00";"44.16";"0.010";"9";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-00820 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7778";"";"A";""
"01435-01030";"ru";"7779";"Komatsu";"0.00";"107.82";"0.030";"7";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-01030 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7779";"";"A";""
"01435-01075";"ru";"7780";"Komatsu";"0.00";"75.92";"0.050";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-01075 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7780";"";"A";""
"01435-01085";"ru";"7781";"Komatsu";"0.00";"185.87";"0.050";"1";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-01085 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7781";"";"A";""
"01435-01220";"ru";"7782";"Komatsu";"0.00";"140.70";"0.040";"52";"0";"0.00";"22 Oct 2019 10:56:38";"N";"";"N";"B";"N";"R";"";"";"";"01435-01220 БОЛТ. ";"";"";"";"";"";"Бренд: S[Komatsu]";"";"";"product-7782";"";"A";""
